Question,Answer
Wie kann ich auf der Seite suchen?,Den Link zu unserer allgemeinen Suchfunktion finden Sie auf allen Seiten oben rechts. Mit Klick auf die Lupe gelangen Sie direkt zu unserer Suche . Sie besteht aus einem Eingabefeld und einem Button zum Abschicken der Suchanfrage. Die Suche erfolgt über den gesamten Internetauftritt. Sie können einzelne oder mehrere Stichworte eintippen.
Haben Sie einen Onlineshop?,"Zum 1. Oktober 2020 hat Kaufland den Online-Marktplatz real.de übernommen. Seit Mitte April 2021 ist er vollständig in die Kaufland-Welt integriert. Neben einem breiten Non-Food-Eigensortiment mit über 300.000 Artikeln können Kunden aus über 45 Millionen Artikeln der Marktplatzhändler auswählen. Die Kunden können bequem von zu Hause shoppen, sie profitieren von einer großen Produktauswahl mit überlegenem Preis-Leistungs-Verhältnis. Hier können Sie online shoppen: Kaufland.de"
Warum kommt es auf meinem Tablet oder Smartphone zu Darstellungsfehlern?,Derzeit wird unsere Internetseite nur für Smartphones und Tablets mit den Betriebssystemen Android und iOS über deren vorinstallierten mobilen Browser optimiert dargestellt. Der Zugriff mit zum Beispiel einem BlackBerry wird nicht unterstützt.
Ich kann das PDF nicht öffnen. Woran liegt das?,Zum Öffnen einer so genannten PDF-Datei benötigen Sie ein spezielles Programm. Laden Sie hier den kostenlosen Adobe Reader herunter.
Warum funktioniert die Filial-Auswahl per Standortermittlung bei mir nicht?,"Um Ihren Standort automatisch ermitteln zu lassen, klicken Sie bei der Filial-Auswahl auf das Symbol rechts neben dem Suchfeld (Kompass). Falls Sie eine Fehlermeldung erhalten, überprüfen Sie die Einstellungen Ihres Browsers. Stellen Sie sicher, dass Ihre Standortermittlung freigegeben ist. Sollte daraufhin noch immer keine Standortermittlung möglich sein, können Sie über die Eingabe von Postleitzahl oder Ort in das Textfeld eine Filiale finden: Jetzt Filiale auswählen"
Was ist der neue Online-Marktplatz?,"Auf unserem Online-Marktplatz finden Sie über 40 Millionen Produkte, die Sie ganz einfach und bequem online bestellen und zu sich nach Hause liefern lassen können. Dabei profitieren Sie vom Marktplatz-Modell: Neben Produkten, die wir Ihnen direkt anbieten, finden Sie auch ein riesiges Sortiment von unseren 7.000 Verkäufern. Die Bestellung und Abwicklung erfolgt dabei stets über Kaufland.de. Unseren Kundenservice können Sie über Ihre Bestellübersicht oder den Hilfebereich kontaktieren."
Kann ich Bestellungen von Kaufland.de in deiner Kaufland-Filiale zurückgeben?,"Nein, dies ist leider nicht möglich. Wir bitten Sie darum, Ihre Bestellungen im Falle einer Retoure an den jeweiligen Verkäufer zurückzuschicken. Mehr Informationen dazu finden Sie hier ."
Wo finde ich Filial-Angebote und den Prospekt von Kaufland?,Unsere Filial-Angebote und den Prospekt finden Sie weiterhin in unserem Filial-Bereich . Wählen Sie dazu entweder den Reiter Filial-Angebot ganz oben auf der Seite aus oder klicken Sie einfach hier .
"Wo finde ich die Rezepte, Aktionen und das Online-Magazin von Kaufland?",Diese Inhalte finden Sie weiterhin in unserem Filial-Bereich . Wählen Sie dazu entweder den Reiter Filial-Angebot ganz oben auf der Seite aus oder klicken Sie einfach hier .
Wie kann ich mich bei Kaufland.de einloggen?,"Wenn Sie bereits ein Kaufland-Kundenkonto besitzen, können Sie dieses weiterhin für den Login nutzen. Dies funktioniert ebenfalls mit alten real.de Kundenkonten. Wenn Sie sowohl ein Kaufland- als auch ein real.de Kundenkonto haben, verwenden Sie bitte die Daten Ihres Kaufland-Kontos für die Anmeldung. Beim nächsten Login können Sie die beiden Kundenkonten miteinander verbinden."
Wieso kann ich mich nicht einloggen?,"Dieses Problem kann auftreten, wenn Sie sowohl ein Kaufland- als auch ein real.de Kundenkonto haben. Bitte nutzen Sie in diesem Fall die Daten Ihres Kaufland-Kontos für die Anmeldung. Beim nächsten Login können Sie die beiden Kundenkonten miteinander verbinden."
Wie erhalte ich den Aktionsgutschein für meinen Einkauf in einer Kaufland-Filiale?,"Nach Abschluss Ihrer Bestellung auf kaufland.de erhalten Sie auf der Bestätigungsseite die Möglichkeit, sich für den Gutschein anzumelden. Der Gutschein wird Ihnen im Anschluss bequem per E-Mail zugesendet, sodass Sie ihn ausdrucken und beim Einkauf in einer Kaufland-Filiale Ihrer Wahl an der Kasse vorzeigen können. Der Aktionszeitraum gilt vom 14. bis 28. April 2021."
"Ich benötige Hilfe bei einem Problem, wie kann ich den Kundenservice kontaktieren?",Bei allen Fragen rund um den Online-Marktplatz hilft Ihnen unser Kundenservice gerne weiter. Diesen können Sie beispielsweise über Ihre Bestellübersicht oder den Hilfebereich kontaktieren. Bei allen weiteren Anliegen zu unserem Filial-Angebot steht Ihnen das Kaufland Kundenmanagement jederzeit gerne zur Verfügung.
Was ist Kaufland Card XTRA und welche Vorteile habe ich?,"Kaufland Card XTRA ist das Vorteilsprogramm von Kaufland. Du findest es in der Kaufland-App. Als Mitglied erhältst du viele exklusive Vorteile: Rabatte Coupons Treuepunkte sammeln: 1 Euro Einkaufswert = 1 Treuepunkt Gratis-Prämien Gewinnspiele Partnervorteile Treueaktionen Digitale Services (zum Beispiel Kaufland Pay, Kaufland Scan, digitaler Kassenbon) Dazu erhältst du viele Vorteile auch auf unserem Online-Marktplatz Kaufland.de ."
